itemLabel,genderLabel,summary,new_occ
Dwight D. Eisenhower,male,"Dwight David ""Ike"" Eisenhower  (; October 14, 1890 – March 28, 1969) was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he served as Supreme Commander of the Allied Expeditionary Force in Europe, and achieved the rare five-star rank of General of the Army. He was responsible for planning and supervising the invasion of North Africa in Operation Torch in 1942–1943 and the successful invasion of Normandy in 1944–1945 from the Western Front.
Eisenhower, born David Dwight Eisenhower, was raised in Abilene, Kansas, in a large family of mostly Pennsylvania Dutch ancestry. His family had a strong religious background. His mother became a Jehovah's Witness. Eisenhower, however, did not belong to any organized church until 1952.  He graduated from West Point in 1915 and later married Mamie Doud, with whom he had two sons. During World War I, he was denied a request to serve in Europe and instead commanded a unit that trained tank crews. Following the war, he served under various generals and was promoted to the rank of brigadier general in 1941. After the United States entered World War II, Eisenhower oversaw the invasions of North Africa and Sicily before supervising the invasions of France and Germany. After the war, he served as Army Chief of Staff (1945–1948), as president of Columbia University (1948–1953) and as the first Supreme Commander of NATO (1951–1952).
In 1952, Eisenhower entered the presidential race as a Republican to block the isolationist foreign policies of Senator Robert A. Taft; Taft opposed NATO and wanted no foreign entanglements. Eisenhower won that election and the 1956 election in landslides, both times defeating Adlai Stevenson II. Eisenhower's main goals in office were to contain the spread of communism and reduce federal deficits. In 1953, he considered using nuclear weapons to end the Korean War, and may have threatened China with nuclear attack if an armistice was not reached quickly. China did agree and an armistice resulted which remains in effect. His New Look policy of nuclear deterrence prioritized inexpensive nuclear weapons while reducing funding for expensive Army divisions. He continued Harry S. Truman's policy of recognizing Taiwan as the legitimate government of China, and he won congressional approval of the Formosa Resolution. His administration provided major aid to help the French fight off Vietnamese Communists in the First Indochina War. After the French left, he gave strong financial support to the new state of South Vietnam. He supported regime-changing military coups in Iran and Guatemala orchestrated by his own administration. During the Suez Crisis of 1956, he condemned the Israeli, British, and French invasion of Egypt, and he forced them to withdraw. He also condemned the Soviet invasion during the Hungarian Revolution of 1956 but took no action. After the Soviet Union launched Sputnik in 1957, Eisenhower authorized the establishment of NASA, which led to the Space Race. He deployed 15,000 soldiers during the 1958 Lebanon crisis. Near the end of his term, he failed to set up a summit meeting with the Soviets when a U.S. spy plane was shot down over the Soviet Union. He approved the Bay of Pigs invasion, which was left to John F. Kennedy to carry out.
On the domestic front, Eisenhower was a moderate conservative who continued New Deal agencies and expanded Social Security. He covertly opposed Joseph McCarthy and contributed to the end of McCarthyism by openly invoking executive privilege. He signed the Civil Rights Act of 1957 and sent Army troops to enforce federal court orders which integrated schools in Little Rock, Arkansas. His largest program was the Interstate Highway System. He promoted the establishment of strong science education via the National Defense Education Act. His two terms saw unprecedented economic prosperity except for a minor recession in 1958. In his farewell address to the nation, he expressed his concerns about the dangers of massive military spending, particularly deficit spending and government contracts to private military manufacturers, which he dubbed ""the military–industrial complex"". Historical evaluations of his presidency place him among the upper tier of American presidents.",statesperson
Dwight D. Eisenhower,male,"Dwight David ""Ike"" Eisenhower  (; October 14, 1890 – March 28, 1969) was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he served as Supreme Commander of the Allied Expeditionary Force in Europe, and achieved the rare five-star rank of General of the Army. He was responsible for planning and supervising the invasion of North Africa in Operation Torch in 1942–1943 and the successful invasion of Normandy in 1944–1945 from the Western Front.
Eisenhower, born David Dwight Eisenhower, was raised in Abilene, Kansas, in a large family of mostly Pennsylvania Dutch ancestry. His family had a strong religious background. His mother became a Jehovah's Witness. Eisenhower, however, did not belong to any organized church until 1952.  He graduated from West Point in 1915 and later married Mamie Doud, with whom he had two sons. During World War I, he was denied a request to serve in Europe and instead commanded a unit that trained tank crews. Following the war, he served under various generals and was promoted to the rank of brigadier general in 1941. After the United States entered World War II, Eisenhower oversaw the invasions of North Africa and Sicily before supervising the invasions of France and Germany. After the war, he served as Army Chief of Staff (1945–1948), as president of Columbia University (1948–1953) and as the first Supreme Commander of NATO (1951–1952).
In 1952, Eisenhower entered the presidential race as a Republican to block the isolationist foreign policies of Senator Robert A. Taft; Taft opposed NATO and wanted no foreign entanglements. Eisenhower won that election and the 1956 election in landslides, both times defeating Adlai Stevenson II. Eisenhower's main goals in office were to contain the spread of communism and reduce federal deficits. In 1953, he considered using nuclear weapons to end the Korean War, and may have threatened China with nuclear attack if an armistice was not reached quickly. China did agree and an armistice resulted which remains in effect. His New Look policy of nuclear deterrence prioritized inexpensive nuclear weapons while reducing funding for expensive Army divisions. He continued Harry S. Truman's policy of recognizing Taiwan as the legitimate government of China, and he won congressional approval of the Formosa Resolution. His administration provided major aid to help the French fight off Vietnamese Communists in the First Indochina War. After the French left, he gave strong financial support to the new state of South Vietnam. He supported regime-changing military coups in Iran and Guatemala orchestrated by his own administration. During the Suez Crisis of 1956, he condemned the Israeli, British, and French invasion of Egypt, and he forced them to withdraw. He also condemned the Soviet invasion during the Hungarian Revolution of 1956 but took no action. After the Soviet Union launched Sputnik in 1957, Eisenhower authorized the establishment of NASA, which led to the Space Race. He deployed 15,000 soldiers during the 1958 Lebanon crisis. Near the end of his term, he failed to set up a summit meeting with the Soviets when a U.S. spy plane was shot down over the Soviet Union. He approved the Bay of Pigs invasion, which was left to John F. Kennedy to carry out.
On the domestic front, Eisenhower was a moderate conservative who continued New Deal agencies and expanded Social Security. He covertly opposed Joseph McCarthy and contributed to the end of McCarthyism by openly invoking executive privilege. He signed the Civil Rights Act of 1957 and sent Army troops to enforce federal court orders which integrated schools in Little Rock, Arkansas. His largest program was the Interstate Highway System. He promoted the establishment of strong science education via the National Defense Education Act. His two terms saw unprecedented economic prosperity except for a minor recession in 1958. In his farewell address to the nation, he expressed his concerns about the dangers of massive military spending, particularly deficit spending and government contracts to private military manufacturers, which he dubbed ""the military–industrial complex"". Historical evaluations of his presidency place him among the upper tier of American presidents.", military officer
Dwight D. Eisenhower,male,"Dwight David ""Ike"" Eisenhower  (; October 14, 1890 – March 28, 1969) was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he served as Supreme Commander of the Allied Expeditionary Force in Europe, and achieved the rare five-star rank of General of the Army. He was responsible for planning and supervising the invasion of North Africa in Operation Torch in 1942–1943 and the successful invasion of Normandy in 1944–1945 from the Western Front.
Eisenhower, born David Dwight Eisenhower, was raised in Abilene, Kansas, in a large family of mostly Pennsylvania Dutch ancestry. His family had a strong religious background. His mother became a Jehovah's Witness. Eisenhower, however, did not belong to any organized church until 1952.  He graduated from West Point in 1915 and later married Mamie Doud, with whom he had two sons. During World War I, he was denied a request to serve in Europe and instead commanded a unit that trained tank crews. Following the war, he served under various generals and was promoted to the rank of brigadier general in 1941. After the United States entered World War II, Eisenhower oversaw the invasions of North Africa and Sicily before supervising the invasions of France and Germany. After the war, he served as Army Chief of Staff (1945–1948), as president of Columbia University (1948–1953) and as the first Supreme Commander of NATO (1951–1952).
In 1952, Eisenhower entered the presidential race as a Republican to block the isolationist foreign policies of Senator Robert A. Taft; Taft opposed NATO and wanted no foreign entanglements. Eisenhower won that election and the 1956 election in landslides, both times defeating Adlai Stevenson II. Eisenhower's main goals in office were to contain the spread of communism and reduce federal deficits. In 1953, he considered using nuclear weapons to end the Korean War, and may have threatened China with nuclear attack if an armistice was not reached quickly. China did agree and an armistice resulted which remains in effect. His New Look policy of nuclear deterrence prioritized inexpensive nuclear weapons while reducing funding for expensive Army divisions. He continued Harry S. Truman's policy of recognizing Taiwan as the legitimate government of China, and he won congressional approval of the Formosa Resolution. His administration provided major aid to help the French fight off Vietnamese Communists in the First Indochina War. After the French left, he gave strong financial support to the new state of South Vietnam. He supported regime-changing military coups in Iran and Guatemala orchestrated by his own administration. During the Suez Crisis of 1956, he condemned the Israeli, British, and French invasion of Egypt, and he forced them to withdraw. He also condemned the Soviet invasion during the Hungarian Revolution of 1956 but took no action. After the Soviet Union launched Sputnik in 1957, Eisenhower authorized the establishment of NASA, which led to the Space Race. He deployed 15,000 soldiers during the 1958 Lebanon crisis. Near the end of his term, he failed to set up a summit meeting with the Soviets when a U.S. spy plane was shot down over the Soviet Union. He approved the Bay of Pigs invasion, which was left to John F. Kennedy to carry out.
On the domestic front, Eisenhower was a moderate conservative who continued New Deal agencies and expanded Social Security. He covertly opposed Joseph McCarthy and contributed to the end of McCarthyism by openly invoking executive privilege. He signed the Civil Rights Act of 1957 and sent Army troops to enforce federal court orders which integrated schools in Little Rock, Arkansas. His largest program was the Interstate Highway System. He promoted the establishment of strong science education via the National Defense Education Act. His two terms saw unprecedented economic prosperity except for a minor recession in 1958. In his farewell address to the nation, he expressed his concerns about the dangers of massive military spending, particularly deficit spending and government contracts to private military manufacturers, which he dubbed ""the military–industrial complex"". Historical evaluations of his presidency place him among the upper tier of American presidents.", politician
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.",musicologist
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.", philosopher
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.", literary critic
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.", aphorist
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.", sociologist
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.", university teacher
Theodor W. Adorno,male,"Theodor W. Adorno (; German: [ˈteːodoːɐ̯ ʔaˈdɔɐ̯no] (listen); born Theodor Ludwig Wiesengrund; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, psychologist, musicologist, and composer known for his critical theory of society.
He was a leading member of the Frankfurt School of critical theory, whose work has come to be associated with thinkers such as Ernst Bloch, Walter Benjamin, Max Horkheimer, Erich Fromm, and Herbert Marcuse, for whom the works of Freud, Marx, and Hegel were essential to a critique of modern society. As a critic of both fascism and what he called the culture industry, his writings—such as Dialectic of Enlightenment (1947), Minima Moralia (1951) and Negative Dialectics (1966)—strongly influenced the European New Left.
Amidst the vogue enjoyed by existentialism and positivism in early 20th-century Europe, Adorno advanced a dialectical conception of natural history that critiqued the twin temptations of ontology and empiricism through studies of Kierkegaard and Husserl. As a classically trained pianist whose sympathies with the twelve-tone technique of Arnold Schoenberg resulted in his studying composition with Alban Berg of the Second Viennese School, Adorno's commitment to avant-garde music formed the backdrop of his subsequent writings and led to his collaboration with Thomas Mann on the latter's novel Doctor Faustus, while the two men lived in California as exiles during the Second World War. Working for the newly relocated Institute for Social Research, Adorno collaborated on influential studies of authoritarianism, antisemitism and propaganda that would later serve as models for sociological studies the Institute carried out in post-war Germany.
Upon his return to Frankfurt, Adorno was involved with the reconstitution of German intellectual life through debates with Karl Popper on the limitations of positivist science, critiques of Heidegger's language of authenticity, writings on German responsibility for the Holocaust, and continued interventions into matters of public policy. As a writer of polemics in the tradition of Nietzsche and Karl Kraus, Adorno delivered scathing critiques of contemporary Western culture. Adorno's posthumously published Aesthetic Theory, which he planned to dedicate to Samuel Beckett, is the culmination of a lifelong commitment to modern art which attempts to revoke the ""fatal separation"" of feeling and understanding long demanded by the history of philosophy and explode the privilege aesthetics accords to content over form and contemplation over immersion.", music critic
